pgs_id,trait,slope,r2,slope_lo,slope_hi,n_pops
PGS004698,CAD,74.96524,0.24074,2.47951,127.26444,21
PGS004696,CAD,38.77011,0.28611,10.87798,59.74118,21
PGS002858,LDL,7.08396,0.30098,2.46178,11.18175,21
PGS000014,CAD,5.96937,0.05037,-1.95821,19.42674,21
PGS003897,BMI,5.26089,0.14964,-2.48294,10.29611,21
PGS002853,LDL,5.00477,0.18140,-0.63412,9.76136,21
PGS000018,T2D,4.36401,0.08600,-1.57196,12.67687,21
PGS003092,BMI,0.04694,0.00000,-13.38340,21.94616,21
PGS004840,T2D,-1.27702,0.00850,-6.94704,5.69829,21
