target,split,subset,feature_group,n_feats,model,pearson_r,spearman_rho,RMSE,MAE
I2,split_variant,associated,FST,1,ridge,0.0910,0.1554,0.2543,0.2204
I2,split_variant,associated,FST,1,hgb,0.1669,0.1620,0.2518,0.2164
I2,split_variant,associated,AF,19,ridge,0.2371,0.2411,0.2481,0.2119
I2,split_variant,associated,AF,19,hgb,0.3661,0.3452,0.2384,0.2030
I2,split_variant,associated,LD,9,ridge,0.2297,0.2478,0.2485,0.2125
I2,split_variant,associated,LD,9,hgb,0.3616,0.3352,0.2387,0.2027
I2,split_variant,associated,SEL,22,ridge,0.2354,0.2405,0.2482,0.2124
I2,split_variant,associated,SEL,22,hgb,0.3929,0.3540,0.2363,0.2018
I2,split_variant,associated,AF_LD,28,ridge,0.2547,0.2601,0.2469,0.2107
I2,split_variant,associated,AF_LD,28,hgb,0.4190,0.3800,0.2331,0.1973
I2,split_variant,associated,AF_SEL,41,ridge,0.2491,0.2514,0.2473,0.2110
I2,split_variant,associated,AF_SEL,41,hgb,0.4112,0.3699,0.2342,0.1997
I2,split_variant,associated,LD_SEL,31,ridge,0.2593,0.2628,0.2466,0.2103
I2,split_variant,associated,LD_SEL,31,hgb,0.4332,0.3835,0.2317,0.1966
I2,split_variant,associated,AF_LD_SEL,50,ridge,0.2639,0.2663,0.2463,0.2099
I2,split_variant,associated,AF_LD_SEL,50,hgb,0.4436,0.3938,0.2303,0.1952
