trait,rid,pathway,n_genes,n_high_i2_genes,frac_high_i2,fisher_p,bh_q,ld_block_perm_p,ld_block_perm_q,fdr_significant
BMI,R-HSA-162582,Signal Transduction,2490,2433,0.977108,5.84142e-11,1.37974e-07,0.00497512,0.00772092,True
BMI,R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",685,672,0.981022,8.30378e-05,0.0980676,0.00497512,0.00772092,False
BMI,R-HSA-194315,Signaling by Rho GTPases,671,658,0.980626,0.000126588,0.0996669,0.00497512,0.00772092,False
BMI,R-HSA-382551,Transport of small molecules,691,676,0.978292,0.000412157,0.243379,0.00497512,0.00772092,False
BMI,R-HSA-112316,Neuronal System,390,384,0.984615,0.000716389,0.338422,0.00497512,0.00772092,False
BMI,R-HSA-9013148,CDC42 GTPase cycle,143,143,1,0.00107994,0.425135,0.00497512,0.00772092,False
BMI,R-HSA-388841,Regulation of T cell activation by CD28 family,260,257,0.988462,0.00172776,0.513525,0.00497512,0.00772092,False
BMI,R-HSA-157118,Signaling by NOTCH,220,218,0.990909,0.00188046,0.513525,0.00497512,0.00772092,False
BMI,R-HSA-8878171,Transcriptional regulation by RUNX1,219,217,0.990868,0.0019567,0.513525,0.00497512,0.00772092,False
BMI,R-HSA-9013149,RAC1 GTPase cycle,172,171,0.994186,0.00254101,0.600187,0.00497512,0.00772092,False
BMI,R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,439,430,0.979499,0.00309953,0.627972,0.00497512,0.00772092,False
BMI,R-HSA-449147,Signaling by Interleukins,438,429,0.979452,0.00319037,0.627972,0.00497512,0.00772092,False
BMI,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,519,507,0.976879,0.00395673,0.705171,0.00497512,0.00772092,False
BMI,R-HSA-9012999,RHO GTPase cycle,424,415,0.978774,0.00475877,0.705171,0.00497512,0.00772092,False
BMI,R-HSA-397014,Muscle contraction,196,194,0.989796,0.00482869,0.705171,0.00497512,0.00772092,False
BMI,R-HSA-9675108,Nervous system development,536,523,0.975746,0.00535052,0.705171,0.00497512,0.00772092,False
BMI,R-HSA-9006925,Intracellular signaling by second messengers,296,291,0.983108,0.00539995,0.705171,0.00497512,0.00772092,False
BMI,R-HSA-372790,Signaling by GPCR,674,656,0.973294,0.00550921,0.705171,0.00995025,0.0149793,False
BMI,R-HSA-1280215,Cytokine Signaling in Immune system,754,733,0.972149,0.00567242,0.705171,0.0199005,0.0293965,False
BMI,R-HSA-556833,Metabolism of lipids,723,703,0.972337,0.00619986,0.732203,0.00995025,0.0149793,False
BMI,R-HSA-388396,GPCR downstream signalling,601,585,0.973378,0.00837286,0.85679,0.00497512,0.00772092,False
BMI,R-HSA-195721,Signaling by WNT,312,306,0.980769,0.00879783,0.85679,0.00497512,0.00772092,False
BMI,R-HSA-428157,Sphingolipid metabolism,99,99,1,0.00888198,0.85679,0.00497512,0.00772092,False
BMI,R-HSA-73887,Death Receptor Signaling,142,141,0.992958,0.00903343,0.85679,0.00497512,0.00772092,False
BMI,R-HSA-195258,RHO GTPase Effectors,311,305,0.980707,0.00906848,0.85679,0.00497512,0.00772092,False
BMI,R-HSA-422475,Axon guidance,513,500,0.974659,0.00946019,0.859422,0.0149254,0.0222702,False
BMI,R-HSA-389948,Co-inhibition by PD-1,210,207,0.985714,0.0106433,0.900191,0.00497512,0.00772092,False
BMI,R-HSA-68875,Mitotic Prophase,138,137,0.992754,0.0106712,0.900191,0.00497512,0.00772092,False
BMI,R-HSA-2682334,EPH-Ephrin signaling,90,90,1,0.0136596,1,0.00497512,0.00772092,False
BMI,R-HSA-166520,Signaling by NTRKs,132,131,0.992424,0.0136835,1,0.00497512,0.00772092,False
BMI,R-HSA-1474290,Collagen formation,88,88,1,0.0150302,1,0.00497512,0.00772092,False
BMI,R-HSA-193704,p75 NTR receptor-mediated signalling,88,88,1,0.0150302,1,0.00497512,0.00772092,False
BMI,R-HSA-983231,Factors involved in megakaryocyte development and platelet production,166,164,0.987952,0.0151316,1,0.00497512,0.00772092,False
BMI,R-HSA-425407,SLC-mediated transmembrane transport,231,227,0.982684,0.0157383,1,0.00497512,0.00772092,False
BMI,R-HSA-5684996,MAPK1/MAPK3 signaling,260,255,0.980769,0.0168073,1,0.00497512,0.00772092,False
BMI,R-HSA-1257604,PIP3 activates AKT signaling,257,252,0.980545,0.0184131,1,0.00497512,0.00772092,False
BMI,R-HSA-1640170,Cell Cycle,667,647,0.970015,0.0198935,1,0.00995025,0.0149793,False
BMI,R-HSA-9006931,Signaling by Nuclear Receptors,284,278,0.978873,0.0201207,1,0.00497512,0.00772092,False
BMI,R-HSA-5673001,RAF/MAP kinase cascade,254,249,0.980315,0.0201611,1,0.00497512,0.00772092,False
BMI,R-HSA-2559583,Cellular Senescence,191,188,0.984293,0.0205201,1,0.00497512,0.00772092,False
BMI,R-HSA-9909648,Regulation of PD-L1(CD274) expression,190,187,0.984211,0.0212282,1,0.00497512,0.00772092,False
BMI,R-HSA-2559580,Oxidative Stress Induced Senescence,120,119,0.991667,0.0223862,1,0.00497512,0.00772092,False
BMI,R-HSA-9705671,SARS-CoV-2 activates/modulates innate and adaptive immune responses,120,119,0.991667,0.0223862,1,0.00497512,0.00772092,False
BMI,R-HSA-9006936,Signaling by TGFB family members,154,152,0.987013,0.0235656,1,0.00497512,0.00772092,False
BMI,R-HSA-6802957,Oncogenic MAPK signaling,78,78,1,0.0242405,1,0.00497512,0.00772092,False
BMI,R-HSA-201681,TCF dependent signaling in response to WNT,216,212,0.981481,0.0253804,1,0.00497512,0.00772092,False
BMI,R-HSA-2990846,SUMOylation,182,179,0.983516,0.0277793,1,0.00497512,0.00772092,False
BMI,R-HSA-1221632,Meiotic synapsis,75,75,1,0.0279765,1,0.00497512,0.00772092,False
BMI,R-HSA-3214858,RMTs methylate histone arginines,75,75,1,0.0279765,1,0.00497512,0.00772092,False
BMI,R-HSA-5683057,MAPK family signaling cascades,300,293,0.976667,0.0288688,1,0.00995025,0.0149793,False
BMI,R-HSA-174824,"Plasma lipoprotein assembly, remodeling, and clearance",74,74,1,0.0293455,1,0.00497512,0.00772092,False
BMI,R-HSA-187037,Signaling by NTRK1 (TRKA),113,112,0.99115,0.0297292,1,0.00497512,0.00772092,False
BMI,R-HSA-373760,L1CAM interactions,113,112,0.99115,0.0297292,1,0.00497512,0.00772092,False
BMI,R-HSA-1430728,Metabolism,2089,2009,0.961704,0.0317475,1,0.0547264,0.0768969,False
BMI,R-HSA-2219528,PI3K/AKT Signaling in Cancer,111,110,0.990991,0.0322227,1,0.00497512,0.00772092,False
BMI,R-HSA-70171,Glycolysis,71,71,1,0.0338674,1,0.00497512,0.00772092,False
BMI,R-HSA-3108232,SUMO E3 ligases SUMOylate target proteins,176,173,0.982955,0.0338874,1,0.00497512,0.00772092,False
BMI,R-HSA-168179,Toll Like Receptor TLR1:TLR2 Cascade,109,108,0.990826,0.0349168,1,0.00497512,0.00772092,False
BMI,R-HSA-181438,Toll Like Receptor 2 (TLR2) Cascade,109,108,0.990826,0.0349168,1,0.00497512,0.00772092,False
BMI,R-HSA-1500931,Cell-Cell communication,348,339,0.974138,0.0352683,1,0.0149254,0.0222702,False
BMI,R-HSA-1980143,Signaling by NOTCH1,70,70,1,0.0355243,1,0.00497512,0.00772092,False
BMI,R-HSA-4551638,SUMOylation of chromatin organization proteins,70,70,1,0.0355243,1,0.00497512,0.00772092,False
BMI,R-HSA-983712,Ion channel transport,172,169,0.982558,0.0386309,1,0.00497512,0.00772092,False
BMI,R-HSA-204998,"Cell death signalling via NRAGE, NRIF and NADE",68,68,1,0.0390851,1,0.00497512,0.00772092,False
BMI,R-HSA-1483257,Phospholipid metabolism,202,198,0.980198,0.0390974,1,0.00497512,0.00772092,False
BMI,R-HSA-166058,MyD88:MAL(TIRAP) cascade initiated on plasma membrane,106,105,0.990566,0.0393677,1,0.00497512,0.00772092,False
BMI,R-HSA-168188,Toll Like Receptor TLR6:TLR2 Cascade,106,105,0.990566,0.0393677,1,0.00497512,0.00772092,False
BMI,R-HSA-1912422,Pre-NOTCH Expression and Processing,106,105,0.990566,0.0393677,1,0.00497512,0.00772092,False
BMI,R-HSA-421270,Cell-cell junction organization,288,281,0.975694,0.0395837,1,0.00995025,0.0149793,False
BMI,R-HSA-166016,Toll Like Receptor 4 (TLR4) Cascade,139,137,0.985612,0.0404502,1,0.00497512,0.00772092,False
BMI,R-HSA-3214841,PKMTs methylate histone lysines,67,67,1,0.040997,1,0.00497512,0.00772092,False
BMI,R-HSA-166166,MyD88-independent TLR4 cascade ,104,103,0.990385,0.0426322,1,0.00497512,0.00772092,False
BMI,R-HSA-8878166,Transcriptional regulation by RUNX2,104,103,0.990385,0.0426322,1,0.00497512,0.00772092,False
BMI,R-HSA-937061,TRIF (TICAM1)-mediated TLR4 signaling ,104,103,0.990385,0.0426322,1,0.00497512,0.00772092,False
BMI,R-HSA-112315,Transmission across Chemical Synapses,257,251,0.976654,0.042671,1,0.00995025,0.0149793,False
BMI,R-HSA-418990,Adherens junctions interactions,257,251,0.976654,0.042671,1,0.00995025,0.0149793,False
BMI,R-HSA-448424,Interleukin-17 signaling,66,66,1,0.0430024,1,0.00497512,0.00772092,False
BMI,R-HSA-1474244,Extracellular matrix organization,312,304,0.974359,0.0434709,1,0.0298507,0.0433892,False
BMI,R-HSA-1650814,Collagen biosynthesis and modifying enzymes,65,65,1,0.0451057,1,0.00497512,0.00772092,False
BMI,R-HSA-9614085,FOXO-mediated transcription,65,65,1,0.0451057,1,0.00497512,0.00772092,False
BMI,R-HSA-71387,Metabolism of carbohydrates and carbohydrate derivatives,282,275,0.975177,0.0461827,1,0.00995025,0.0149793,False
BMI,R-HSA-168138,Toll Like Receptor 9 (TLR9) Cascade,101,100,0.990099,0.0480192,1,0.00497512,0.00772092,False
BMI,R-HSA-446652,Interleukin-1 family signaling,134,132,0.985075,0.0482516,1,0.00497512,0.00772092,False
BMI,R-HSA-5693567,HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),134,132,0.985075,0.0482516,1,0.00497512,0.00772092,False
BMI,R-HSA-9839923,Dengue Virus Infection,387,376,0.971576,0.049588,1,0.0447761,0.0637116,False
BMI,R-HSA-9918481,Dengue Virus-Host Interactions,279,272,0.97491,0.0498368,1,0.0298507,0.0433892,False
BMI,R-HSA-168164,Toll Like Receptor 3 (TLR3) Cascade,100,99,0.99,0.0499551,1,0.00497512,0.00772092,False
BMI,R-HSA-2672351,Stimuli-sensing channels,100,99,0.99,0.0499551,1,0.00497512,0.00772092,False
BMI,R-HSA-9645723,Diseases of programmed cell death,100,99,0.99,0.0499551,1,0.00497512,0.00772092,False
BMI,R-HSA-9764560,Regulation of CDH1 Gene Transcription,100,99,0.99,0.0499551,1,0.00497512,0.00772092,False
BMI,R-HSA-9609690,HCMV Early Events,133,131,0.984962,0.0499718,1,0.00497512,0.00772092,False
BMI,R-HSA-375165,NCAM signaling for neurite out-growth,62,62,1,0.0520526,1,0.00497512,0.00772092,False
BMI,R-HSA-6802952,Signaling by BRAF and RAF1 fusions,62,62,1,0.0520526,1,0.00497512,0.00772092,False
BMI,R-HSA-913531,Interferon Signaling,277,270,0.974729,0.0524134,1,0.0248756,0.0364719,False
BMI,R-HSA-6811434,COPI-dependent Golgi-to-ER retrograde traffic,98,97,0.989796,0.0540527,1,0.00497512,0.00772092,False
BMI,R-HSA-9909649,Regulation of PD-L1(CD274) transcription,98,97,0.989796,0.0540527,1,0.00497512,0.00772092,False
BMI,R-HSA-373755,Semaphorin interactions,61,61,1,0.054598,1,0.00497512,0.00772092,False
BMI,R-HSA-109581,Apoptosis,161,158,0.981366,0.0550233,1,0.00497512,0.00772092,False
BMI,R-HSA-168181,Toll Like Receptor 7/8 (TLR7/8) Cascade,97,96,0.989691,0.0562196,1,0.00497512,0.00772092,False
BMI,R-HSA-168898,Toll-like Receptor Cascades,160,157,0.98125,0.0567928,1,0.00497512,0.00772092,False
BMI,R-HSA-69278,"Cell Cycle, Mitotic",535,518,0.968224,0.0568118,1,0.0447761,0.0637116,False
BMI,R-HSA-5693607,Processing of DNA double-strand break ends,96,95,0.989583,0.0584691,1,0.00497512,0.00772092,False
BMI,R-HSA-975155,MyD88 dependent cascade initiated on endosome,96,95,0.989583,0.0584691,1,0.00497512,0.00772092,False
BMI,R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,59,59,1,0.060068,1,0.00497512,0.00772092,False
BMI,R-HSA-199991,Membrane Trafficking,607,587,0.967051,0.0602586,1,0.0497512,0.0702405,False
BMI,R-HSA-69473,G2/M DNA damage checkpoint,95,94,0.989474,0.0608039,1,0.00497512,0.00772092,False
BMI,R-HSA-975138,TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,95,94,0.989474,0.0608039,1,0.00497512,0.00772092,False
BMI,R-HSA-450294,MAP kinase activation,58,58,1,0.063005,1,0.00497512,0.00772092,False
BMI,R-HSA-186797,Signaling by PDGF,57,57,1,0.0660854,1,0.00497512,0.00772092,False
BMI,R-HSA-5576891,Cardiac conduction,124,122,0.983871,0.0682278,1,0.00497512,0.00772092,False
BMI,R-HSA-8936459,RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function,92,91,0.98913,0.0683508,1,0.00497512,0.00772092,False
BMI,R-HSA-168142,Toll Like Receptor 10 (TLR10) Cascade,91,90,0.989011,0.0710577,1,0.00497512,0.00772092,False
BMI,R-HSA-168176,Toll Like Receptor 5 (TLR5) Cascade,91,90,0.989011,0.0710577,1,0.00497512,0.00772092,False
BMI,R-HSA-201722,Formation of the beta-catenin:TCF transactivating complex,91,90,0.989011,0.0710577,1,0.00497512,0.00772092,False
BMI,R-HSA-975871,MyD88 cascade initiated on plasma membrane,91,90,0.989011,0.0710577,1,0.00497512,0.00772092,False
BMI,R-HSA-1912408,Pre-NOTCH Transcription and Translation,90,89,0.988889,0.0738657,1,0.00497512,0.00772092,False
BMI,R-HSA-5625740,RHO GTPases activate PKNs,90,89,0.988889,0.0738657,1,0.00497512,0.00772092,False
BMI,R-HSA-9764725,Negative Regulation of CDH1 Gene Transcription,90,89,0.988889,0.0738657,1,0.00497512,0.00772092,False
BMI,R-HSA-110330,Recognition and association of DNA glycosylase with site containing an affected purine,54,54,1,0.0762589,1,0.00497512,0.00772092,False
BMI,R-HSA-110331,Cleavage of the damaged purine,54,54,1,0.0762589,1,0.00497512,0.00772092,False
BMI,R-HSA-2644602,Signaling by NOTCH1 PEST Domain Mutants in Cancer,54,54,1,0.0762589,1,0.00497512,0.00772092,False
BMI,R-HSA-2644603,Signaling by NOTCH1 in Cancer,54,54,1,0.0762589,1,0.00497512,0.00772092,False
BMI,R-HSA-2644606,Constitutive Signaling by NOTCH1 PEST Domain Mutants,54,54,1,0.0762589,1,0.00497512,0.00772092,False
BMI,R-HSA-2894858,Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,54,54,1,0.0762589,1,0.00497512,0.00772092,False
BMI,R-HSA-2894862,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,54,54,1,0.0762589,1,0.00497512,0.00772092,False
BMI,R-HSA-73927,Depurination,54,54,1,0.0762589,1,0.00497512,0.00772092,False
BMI,R-HSA-8848021,Signaling by PTK6,54,54,1,0.0762589,1,0.00497512,0.00772092,False
BMI,R-HSA-9006927,Signaling by Non-Receptor Tyrosine Kinases,54,54,1,0.0762589,1,0.00497512,0.00772092,False
BMI,R-HSA-74160,Gene expression (Transcription),1470,1413,0.961224,0.0791884,1,0.144279,0.19407,False
BMI,R-HSA-446728,Cell junction organization,313,304,0.971246,0.0792188,1,0.0348259,0.0502804,False
BMI,R-HSA-68886,M Phase,390,378,0.969231,0.0799752,1,0.0746269,0.10381,False
BMI,R-HSA-112040,G-protein mediated events,53,53,1,0.0799866,1,0.00497512,0.00772092,False
BMI,R-HSA-74751,Insulin receptor signalling cascade,53,53,1,0.0799866,1,0.00497512,0.00772092,False
BMI,R-HSA-73857,RNA Polymerase II Transcription,1282,1233,0.961778,0.0805078,1,0.164179,0.219463,False
BMI,R-HSA-199418,Negative regulation of the PI3K/AKT network,119,117,0.983193,0.0808543,1,0.00497512,0.00772092,False
BMI,R-HSA-9616222,Transcriptional regulation of granulopoiesis,87,86,0.988506,0.0829307,1,0.00497512,0.00772092,False
BMI,R-HSA-177929,Signaling by EGFR,52,52,1,0.0838962,1,0.00497512,0.00772092,False
BMI,R-HSA-193648,NRAGE signals death through JNK,52,52,1,0.0838962,1,0.00497512,0.00772092,False
BMI,R-HSA-2404192,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),52,52,1,0.0838962,1,0.00497512,0.00772092,False
BMI,R-HSA-2980766,Nuclear Envelope Breakdown,52,52,1,0.0838962,1,0.00497512,0.00772092,False
BMI,R-HSA-5578775,Ion homeostasis,52,52,1,0.0838962,1,0.00497512,0.00772092,False
BMI,R-HSA-6798695,Neutrophil degranulation,462,447,0.967532,0.0858559,1,0.079602,0.11034,False
BMI,R-HSA-9013423,RAC3 GTPase cycle,86,85,0.988372,0.086178,1,0.00497512,0.00772092,False
BMI,R-HSA-9837999,Mitochondrial protein degradation,86,85,0.988372,0.086178,1,0.00497512,0.00772092,False
BMI,R-HSA-2428924,IGF1R signaling cascade,51,51,1,0.0879967,1,0.00497512,0.00772092,False
BMI,R-HSA-383280,Nuclear Receptor transcription pathway,51,51,1,0.0879967,1,0.00497512,0.00772092,False
BMI,R-HSA-5654736,Signaling by FGFR1,51,51,1,0.0879967,1,0.00497512,0.00772092,False
BMI,R-HSA-936837,Ion transport by P-type ATPases,51,51,1,0.0879967,1,0.00497512,0.00772092,False
BMI,R-HSA-1500620,Meiosis,116,114,0.982759,0.0894204,1,0.00497512,0.00772092,False
BMI,R-HSA-9758941,Gastrulation,116,114,0.982759,0.0894204,1,0.00497512,0.00772092,False
BMI,R-HSA-2219530,Constitutive Signaling by Aberrant PI3K in Cancer,85,84,0.988235,0.0895443,1,0.00497512,0.00772092,False
BMI,R-HSA-8878159,Transcriptional regulation by RUNX3,85,84,0.988235,0.0895443,1,0.00497512,0.00772092,False
BMI,R-HSA-3247509,Chromatin modifying enzymes,254,247,0.972441,0.0915858,1,0.0696517,0.0971751,False
BMI,R-HSA-1227986,Signaling by ERBB2,50,50,1,0.0922974,1,0.00497512,0.00772092,False
BMI,R-HSA-1660662,Glycosphingolipid metabolism,50,50,1,0.0922974,1,0.00497512,0.00772092,False
BMI,R-HSA-171306,Packaging Of Telomere Ends,50,50,1,0.0922974,1,0.00497512,0.00772092,False
BMI,R-HSA-2428928,IRS-related events triggered by IGF1R,50,50,1,0.0922974,1,0.00497512,0.00772092,False
BMI,R-HSA-3928665,EPH-ephrin mediated repulsion of cells,50,50,1,0.0922974,1,0.00497512,0.00772092,False
BMI,R-HSA-4839726,Chromatin organization,357,346,0.969188,0.0928221,1,0.0995025,0.136722,False
BMI,R-HSA-212436,Generic Transcription Pathway,1199,1153,0.961635,0.0932963,1,0.159204,0.213295,False
BMI,R-HSA-165159,MTOR signalling,49,49,1,0.0968081,1,0.00497512,0.00772092,False
BMI,R-HSA-180786,Extension of Telomeres,49,49,1,0.0968081,1,0.00497512,0.00772092,False
BMI,R-HSA-8939236,RUNX1 regulates transcription of genes involved in differentiation of HSCs,113,111,0.982301,0.0988022,1,0.00497512,0.00772092,False
BMI,R-HSA-5693532,DNA Double-Strand Break Repair,170,166,0.976471,0.0989285,1,0.00995025,0.0149793,False
BMI,R-HSA-9013404,RAC2 GTPase cycle,82,81,0.987805,0.100397,1,0.00497512,0.00772092,False
BMI,R-HSA-112043,PLC beta mediated events,48,48,1,0.101539,1,0.00497512,0.00772092,False
BMI,R-HSA-112310,Neurotransmitter release cycle,48,48,1,0.101539,1,0.00497512,0.00772092,False
BMI,R-HSA-1660499,Synthesis of PIPs at the plasma membrane,48,48,1,0.101539,1,0.00497512,0.00772092,False
BMI,R-HSA-9012852,Signaling by NOTCH3,48,48,1,0.101539,1,0.00497512,0.00772092,False
BMI,R-HSA-8978868,Fatty acid metabolism,169,165,0.976331,0.101687,1,0.00995025,0.0149793,False
BMI,R-HSA-8980692,RHOA GTPase cycle,141,138,0.978723,0.101818,1,0.00497512,0.00772092,False
BMI,R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",112,110,0.982143,0.102122,1,0.00497512,0.00772092,False
BMI,R-HSA-70326,Glucose metabolism,81,80,0.987654,0.104279,1,0.00497512,0.00772092,False
BMI,R-HSA-5693538,Homology Directed Repair,140,137,0.978571,0.10489,1,0.00497512,0.00772092,False
BMI,R-HSA-9755511,KEAP1-NFE2L2 pathway,111,109,0.981982,0.105541,1,0.00497512,0.00772092,False
BMI,R-HSA-112399,IRS-mediated signalling,47,47,1,0.106501,1,0.00497512,0.00772092,False
BMI,R-HSA-389356,Co-stimulation by CD28,47,47,1,0.106501,1,0.00497512,0.00772092,False
BMI,R-HSA-4570464,SUMOylation of RNA binding proteins,47,47,1,0.106501,1,0.00497512,0.00772092,False
BMI,R-HSA-73893,DNA Damage Bypass,47,47,1,0.106501,1,0.00497512,0.00772092,False
BMI,R-HSA-4615885,SUMOylation of DNA replication proteins,46,46,1,0.111705,1,0.00497512,0.00772092,False
BMI,R-HSA-69231,Cyclin D associated events in G1,46,46,1,0.111705,1,0.00497512,0.00772092,False
BMI,R-HSA-69236,G1 Phase,46,46,1,0.111705,1,0.00497512,0.00772092,False
BMI,R-HSA-9024446,NR1H2 and NR1H3-mediated signaling,46,46,1,0.111705,1,0.00497512,0.00772092,False
BMI,R-HSA-597592,Post-translational protein modification,1414,1358,0.960396,0.111759,1,0.164179,0.219463,False
BMI,R-HSA-5357801,Programmed Cell Death,192,187,0.973958,0.113417,1,0.0248756,0.0364719,False
BMI,R-HSA-5663220,RHO GTPases Activate Formins,137,134,0.978102,0.1146,1,0.00497512,0.00772092,False
BMI,R-HSA-2559582,Senescence-Associated Secretory Phenotype (SASP),108,106,0.981481,0.116424,1,0.00497512,0.00772092,False
BMI,R-HSA-72306,tRNA processing,108,106,0.981481,0.116424,1,0.00497512,0.00772092,False
BMI,R-HSA-1483255,PI Metabolism,78,77,0.987179,0.116779,1,0.00497512,0.00772092,False
BMI,R-HSA-2559586,DNA Damage/Telomere Stress Induced Senescence,78,77,0.987179,0.116779,1,0.00497512,0.00772092,False
BMI,R-HSA-6806834,Signaling by MET,78,77,0.987179,0.116779,1,0.00497512,0.00772092,False
BMI,R-HSA-72202,Transport of Mature Transcript to Cytoplasm,78,77,0.987179,0.116779,1,0.00497512,0.00772092,False
BMI,R-HSA-512988,"Interleukin-3, Interleukin-5 and GM-CSF signaling",45,45,1,0.117163,1,0.00497512,0.00772092,False
BMI,R-HSA-9830369,Kidney development,45,45,1,0.117163,1,0.00497512,0.00772092,False
BMI,R-HSA-9839373,Signaling by TGFBR3,45,45,1,0.117163,1,0.00497512,0.00772092,False
BMI,R-HSA-6794362,Protein-protein interactions at synapses,77,76,0.987013,0.121245,1,0.00497512,0.00772092,False
BMI,R-HSA-9711123,Cellular response to chemical stress,189,184,0.973545,0.122283,1,0.0199005,0.0293965,False
BMI,R-HSA-1566948,Elastic fibre formation,44,44,1,0.122887,1,0.00497512,0.00772092,False
BMI,R-HSA-2122947,NOTCH1 Intracellular Domain Regulates Transcription,44,44,1,0.122887,1,0.00497512,0.00772092,False
BMI,R-HSA-9856651,MITF-M-dependent gene expression,106,104,0.981132,0.124225,1,0.00497512,0.00772092,False
BMI,R-HSA-8852135,Protein ubiquitination,76,75,0.986842,0.125868,1,0.00497512,0.00772092,False
BMI,R-HSA-8939211,ESR-mediated signaling,214,208,0.971963,0.126206,1,0.079602,0.11034,False
BMI,R-HSA-392499,Metabolism of proteins,2014,1931,0.958788,0.128733,1,0.174129,0.232238,False
BMI,R-HSA-109704,PI3K Cascade,43,43,1,0.128891,1,0.00497512,0.00772092,False
BMI,R-HSA-445355,Smooth Muscle Contraction,43,43,1,0.128891,1,0.00497512,0.00772092,False
BMI,R-HSA-6802946,Signaling by moderate kinase activity BRAF mutants,43,43,1,0.128891,1,0.00497512,0.00772092,False
BMI,R-HSA-6802949,Signaling by RAS mutants,43,43,1,0.128891,1,0.00497512,0.00772092,False
BMI,R-HSA-6802955,Paradoxical activation of RAF signaling by kinase inactive BRAF,43,43,1,0.128891,1,0.00497512,0.00772092,False
BMI,R-HSA-9649948,Signaling downstream of RAS mutants,43,43,1,0.128891,1,0.00497512,0.00772092,False
BMI,R-HSA-9759476,Regulation of Homotypic Cell-Cell Adhesion,213,207,0.971831,0.129183,1,0.0597015,0.0836387,False
BMI,R-HSA-3000171,Non-integrin membrane-ECM interactions,75,74,0.986667,0.130654,1,0.00497512,0.00772092,False
BMI,R-HSA-69656,Cyclin A:Cdk2-associated events at S phase entry,75,74,0.986667,0.130654,1,0.00497512,0.00772092,False
BMI,R-HSA-8856688,Golgi-to-ER retrograde transport,132,129,0.977273,0.132527,1,0.0149254,0.0222702,False
BMI,R-HSA-1296072,Voltage gated Potassium channels,42,42,1,0.135188,1,0.00497512,0.00772092,False
BMI,R-HSA-8948216,Collagen chain trimerization,42,42,1,0.135188,1,0.00497512,0.00772092,False
BMI,R-HSA-3108214,SUMOylation of DNA damage response and repair proteins,74,73,0.986486,0.135606,1,0.00497512,0.00772092,False
BMI,R-HSA-9943962,"CHD6, CHD7, CHD8, CHD9 subfamily",74,73,0.986486,0.135606,1,0.00497512,0.00772092,False
BMI,R-HSA-69620,Cell Cycle Checkpoints,287,278,0.968641,0.136616,1,0.104478,0.143142,False
BMI,R-HSA-194138,Signaling by VEGF,103,101,0.980583,0.136795,1,0.00497512,0.00772092,False
BMI,R-HSA-5633007,Regulation of TP53 Activity,157,153,0.974522,0.140307,1,0.00497512,0.00772092,False
BMI,R-HSA-1630316,Glycosaminoglycan metabolism,130,127,0.976923,0.140346,1,0.00995025,0.0149793,False
BMI,R-HSA-3000178,ECM proteoglycans,73,72,0.986301,0.140729,1,0.00497512,0.00772092,False
BMI,R-HSA-69202,Cyclin E associated events during G1/S transition ,73,72,0.986301,0.140729,1,0.00497512,0.00772092,False
BMI,R-HSA-1296071,Potassium Channels,102,100,0.980392,0.141227,1,0.00497512,0.00772092,False
BMI,R-HSA-186712,Regulation of beta-cell development,41,41,1,0.141791,1,0.00497512,0.00772092,False
BMI,R-HSA-3769402,Deactivation of the beta-catenin transactivating complex,41,41,1,0.141791,1,0.00497512,0.00772092,False
BMI,R-HSA-3928662,EPHB-mediated forward signaling,41,41,1,0.141791,1,0.00497512,0.00772092,False
BMI,R-HSA-419037,NCAM1 interactions,41,41,1,0.141791,1,0.00497512,0.00772092,False
BMI,R-HSA-445989,TAK1-dependent IKK and NF-kappa-B activation  ,41,41,1,0.141791,1,0.00497512,0.00772092,False
BMI,R-HSA-5675221,Negative regulation of MAPK pathway,41,41,1,0.141791,1,0.00497512,0.00772092,False
BMI,R-HSA-9696264,RND3 GTPase cycle,41,41,1,0.141791,1,0.00497512,0.00772092,False
BMI,R-HSA-9696273,RND1 GTPase cycle,41,41,1,0.141791,1,0.00497512,0.00772092,False
BMI,R-HSA-9824585,Regulation of MITF-M-dependent genes involved in pigmentation,41,41,1,0.141791,1,0.00497512,0.00772092,False
BMI,R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane,72,71,0.986111,0.146029,1,0.00497512,0.00772092,False
BMI,R-HSA-9818564,Epigenetic regulation of gene expression by MLL3 and MLL4 complexes,128,125,0.976562,0.148555,1,0.00995025,0.0149793,False
BMI,R-HSA-9841922,MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis,128,125,0.976562,0.148555,1,0.00995025,0.0149793,False
