omit_pgs,mode,metric,mean_mad_reduction,median_mad_reduction,n_scores
PGS004696,reweight_exp,expected_mad_reduction,0,0,8
PGS004698,reweight_exp,expected_mad_reduction,0,0,8
PGS004840,reweight_exp,expected_mad_reduction,0,0,8
NONE,reweight_linear,expected_mad_reduction,0,0,9
PGS000014,reweight_linear,expected_mad_reduction,0,0,8
PGS000018,reweight_linear,expected_mad_reduction,0,0,8
PGS002853,reweight_linear,expected_mad_reduction,0,0,8
PGS002858,reweight_linear,expected_mad_reduction,0,0,8
PGS003092,reweight_linear,expected_mad_reduction,0,0,8
PGS003897,reweight_linear,expected_mad_reduction,0,0,8
PGS004696,reweight_linear,expected_mad_reduction,0,0,8
PGS004698,reweight_linear,expected_mad_reduction,0,0,8
PGS004840,reweight_linear,expected_mad_reduction,0,0,8
