subset,split,feature_group,AUROC,AUROC_lo,AUROC_hi,AUPRC,AUPRC_lo,AUPRC_hi,ECE,n_test,pos_rate,base_group
associated,split_variant,FST,0.5744,0.5725,0.5761,0.4281,0.4264,0.4300,0.0013,387460,0.3799,
associated,split_variant,PERMUTED,0.5001,0.4980,0.5012,0.3785,0.3768,0.3801,0.0000,387460,0.3799,FST
associated,split_variant,AF_LD,0.6797,0.6783,0.6810,0.5813,0.5786,0.5838,0.0245,387460,0.3799,
associated,split_variant,PERMUTED,0.5399,0.5385,0.5416,0.4037,0.4019,0.4055,0.0000,387460,0.3799,AF_LD
associated,split_variant,AF_LD_SEL,0.6856,0.6838,0.6870,0.5903,0.5878,0.5920,0.0270,387460,0.3799,
associated,split_variant,PERMUTED,0.5139,0.5124,0.5159,0.3874,0.3859,0.3897,0.0000,387460,0.3799,AF_LD_SEL
