target,split,subset,feature_group,n_feats,model,n_train,n_test,pos_rate_test,AUROC,AUPRC,F1,balACC,ECE
y_high_I2,split_variant,associated,LD_SEL,31,logreg,29805,6340,0.2968,0.6586,0.4518,0.4994,0.6238,0.1866
y_high_I2,split_variant,associated,LD_SEL,31,hgb,29805,6340,0.2968,0.8374,0.7299,0.5686,0.6973,0.0421
y_high_I2,split_variant,associated,AF_LD_SEL,50,logreg,29805,6340,0.2968,0.6729,0.4772,0.5026,0.6268,0.1849
y_high_I2,split_variant,associated,AF_LD_SEL,50,hgb,29805,6340,0.2968,0.8474,0.7455,0.5822,0.7048,0.0456
y_high_I2,split_trait,associated,FST,1,logreg,14101,14051,0.2509,0.6189,0.3296,0.3903,0.5841,0.2467
y_high_I2,split_trait,associated,FST,1,hgb,14101,14051,0.2509,0.5278,0.2569,0.0907,0.4933,0.0782
y_high_I2,split_trait,associated,AF,19,logreg,14101,14051,0.2509,0.6281,0.3541,0.4234,0.6001,0.2284
y_high_I2,split_trait,associated,AF,19,hgb,14101,14051,0.2509,0.4762,0.2408,0.1943,0.5066,0.1622
y_high_I2,split_trait,associated,LD,9,logreg,14101,14051,0.2509,0.6103,0.2936,0.3437,0.5577,0.2138
y_high_I2,split_trait,associated,LD,9,hgb,14101,14051,0.2509,0.4921,0.2459,0.1875,0.5060,0.1410
y_high_I2,split_trait,associated,SEL,22,logreg,14101,14051,0.2509,0.5723,0.3445,0.3727,0.5532,0.2414
y_high_I2,split_trait,associated,SEL,22,hgb,14101,14051,0.2509,0.4930,0.2438,0.1801,0.5024,0.1442
y_high_I2,split_trait,associated,AF_LD,28,logreg,14101,14051,0.2509,0.6229,0.3173,0.4003,0.5908,0.2053
y_high_I2,split_trait,associated,AF_LD,28,hgb,14101,14051,0.2509,0.4888,0.2464,0.1781,0.5026,0.1499
y_high_I2,split_trait,associated,AF_SEL,41,logreg,14101,14051,0.2509,0.5776,0.3358,0.3908,0.5684,0.2432
y_high_I2,split_trait,associated,AF_SEL,41,hgb,14101,14051,0.2509,0.4952,0.2466,0.2037,0.5093,0.1575
y_high_I2,split_trait,associated,LD_SEL,31,logreg,14101,14051,0.2509,0.5997,0.3090,0.4104,0.5950,0.2131
y_high_I2,split_trait,associated,LD_SEL,31,hgb,14101,14051,0.2509,0.4966,0.2502,0.1781,0.5043,0.1463
y_high_I2,split_trait,associated,AF_LD_SEL,50,logreg,14101,14051,0.2509,0.5860,0.3020,0.3698,0.5638,0.2150
y_high_I2,split_trait,associated,AF_LD_SEL,50,hgb,14101,14051,0.2509,0.4960,0.2519,0.1792,0.5056,0.1470
