target,split,subset,feature_group,n_feats,model,n_train,n_test,pos_rate_test,AUROC,AUPRC,F1,balACC,ECE
y_high_I2,split_variant,associated,FST,1,logreg,1807158,387460,0.3799,0.5715,0.4212,0.4179,0.5388,0.1194
y_high_I2,split_variant,associated,FST,1,hgb,1807158,387460,0.3799,0.5744,0.4281,0.0000,0.5000,0.0013
y_high_I2,split_variant,associated,AF,19,logreg,1807158,387460,0.3799,0.6164,0.4595,0.5532,0.5971,0.1149
y_high_I2,split_variant,associated,AF,19,hgb,1807158,387460,0.3799,0.6645,0.5503,0.2671,0.5561,0.0223
y_high_I2,split_variant,associated,LD,9,logreg,1807158,387460,0.3799,0.6205,0.4745,0.5524,0.5907,0.1152
y_high_I2,split_variant,associated,LD,9,hgb,1807158,387460,0.3799,0.6578,0.5511,0.2914,0.5630,0.0173
y_high_I2,split_variant,associated,SEL,22,logreg,1807158,387460,0.3799,0.6187,0.4647,0.5221,0.5917,0.1150
y_high_I2,split_variant,associated,SEL,22,hgb,1807158,387460,0.3799,0.6669,0.5565,0.2929,0.5633,0.0213
y_high_I2,split_variant,associated,AF_LD,28,logreg,1807158,387460,0.3799,0.6284,0.4849,0.5502,0.5991,0.1139
y_high_I2,split_variant,associated,AF_LD,28,hgb,1807158,387460,0.3799,0.6834,0.5875,0.3702,0.5888,0.0266
y_high_I2,split_variant,associated,AF_SEL,41,logreg,1807158,387460,0.3799,0.6235,0.4690,0.5500,0.6015,0.1142
y_high_I2,split_variant,associated,AF_SEL,41,hgb,1807158,387460,0.3799,0.6759,0.5708,0.3365,0.5765,0.0262
y_high_I2,split_variant,associated,LD_SEL,31,logreg,1807158,387460,0.3799,0.6313,0.4883,0.5444,0.6005,0.1137
y_high_I2,split_variant,associated,LD_SEL,31,hgb,1807158,387460,0.3799,0.6843,0.5892,0.3667,0.5892,0.0278
y_high_I2,split_variant,associated,AF_LD_SEL,50,logreg,1807158,387460,0.3799,0.6331,0.4915,0.5489,0.6024,0.1134
y_high_I2,split_variant,associated,AF_LD_SEL,50,hgb,1807158,387460,0.3799,0.6902,0.5977,0.3951,0.5983,0.0293
