pgs_id,trait,slope,r2,slope_lo,slope_hi,n_pops
PGS004696,CAD,46.25959,0.28156,19.37928,84.29960,21
PGS004698,CAD,44.77685,0.36966,22.82027,70.56920,21
PGS000014,CAD,36.57027,0.31989,17.98314,60.50374,21
PGS004840,T2D,33.48327,0.31451,9.09506,56.12145,21
PGS000018,T2D,7.23057,0.05356,-4.67282,24.69231,21
PGS003092,BMI,2.26702,0.08276,-1.36634,7.04798,21
PGS002853,LDL,1.35036,0.03045,-2.81121,4.53470,21
PGS002858,LDL,0.31730,0.00094,-4.89335,4.91259,21
PGS003897,BMI,-2.41244,0.05238,-6.20854,3.70162,21
