model_a,model_b,delta_auroc,delta_lo,delta_hi,n_boot,ci_excludes_zero,status
AF_LD_SEL,POP_DISTANCE,0.0081,-0.0027,0.0172,200,False,ldblock_bootstrap
AF_LD_SEL,FST,0.0463,0.0286,0.0657,200,True,ldblock_bootstrap
