pgs_id,trait,mode,metric,value,value_lo,value_hi,baseline_value,baseline_value_lo,baseline_value_hi,delta_vs_baseline,reduction,n_labeled_retained
PGS000018,T2D,filter_5,mean_abs_delta_EUR,1.4832845429197872,1.3007128369870422,1.6091177729484853,1.4433717744989998,1.2771701415419099,1.5636068921357757,0.03991276842078739,-0.03991276842078739,
PGS000018,T2D,filter_5,kendall_w,0.12098765432098765,,,0.07361111111111111,,,0.04737654320987654,-0.04737654320987654,
PGS000018,T2D,filter_5,median_I2_retained,0.0,,,0.0,,,0.0,0.0,77169.0
PGS000018,T2D,filter_5,mean_sign_concordance_retained,0.6300363540649414,,,0.6305486559867859,,,-0.0005123019218444824,-0.0005123019218444824,77169.0
PGS000018,T2D,filter_5,weight_retained_frac,0.9643255191557132,,,1.0,,,-0.035674480844286816,0.035674480844286816,
PGS000018,T2D,filter_5,tail5_frac_AFR,0.007936507936507936,,,0.0,,,0.007936507936507936,,
PGS000018,T2D,filter_5,tail5_frac_AMR,0.07936507936507936,,,0.10317460317460317,,,-0.023809523809523808,,
PGS000018,T2D,filter_5,tail5_frac_EAS,0.0,,,0.2222222222222222,,,-0.2222222222222222,,
PGS000018,T2D,filter_5,tail5_frac_EUR,0.9047619047619048,,,0.6746031746031746,,,0.23015873015873012,,
PGS000018,T2D,filter_5,tail5_frac_SAS,0.007936507936507936,,,0.0,,,0.007936507936507936,,
PGS000018,T2D,filter_5,tail5_ancestry_L1,0.492063492063492,,,0.0,,,0.492063492063492,,
PGS004696,CAD,filter_5,mean_abs_delta_EUR,4.620212628199387,4.338064289577114,4.896136785427038,4.276596184543395,4.054897571517985,4.555738377815027,0.34361644365599187,-0.34361644365599187,
PGS004696,CAD,filter_5,kendall_w,0.12098765432098765,,,0.07361111111111111,,,0.04737654320987654,-0.04737654320987654,
PGS004696,CAD,filter_5,median_I2_retained,0.0,,,0.0,,,0.0,0.0,58193.0
PGS004696,CAD,filter_5,mean_sign_concordance_retained,0.6283833980560303,,,0.6266543865203857,,,0.0017290115356445312,0.0017290115356445312,58193.0
PGS004696,CAD,filter_5,weight_retained_frac,0.9772316111254806,,,1.0,,,-0.022768388874519374,0.022768388874519374,
PGS004696,CAD,filter_5,tail5_frac_AFR,0.15079365079365079,,,0.05555555555555555,,,0.09523809523809523,,
PGS004696,CAD,filter_5,tail5_frac_AMR,0.1746031746031746,,,0.23015873015873015,,,-0.05555555555555555,,
PGS004696,CAD,filter_5,tail5_frac_EAS,0.6746031746031746,,,0.7142857142857143,,,-0.03968253968253965,,
PGS004696,CAD,filter_5,tail5_frac_EUR,0.0,,,0.0,,,0.0,,
PGS004696,CAD,filter_5,tail5_frac_SAS,0.0,,,0.0,,,0.0,,
PGS004696,CAD,filter_5,tail5_ancestry_L1,0.19047619047619044,,,0.0,,,0.19047619047619044,,
PGS004698,CAD,filter_5,mean_abs_delta_EUR,4.2746453971327805,4.039371322926944,4.5382892050439345,3.655455560197489,3.4795518987265246,3.8533583494961374,0.6191898369352913,-0.6191898369352913,
PGS004698,CAD,filter_5,kendall_w,0.12098765432098765,,,0.07361111111111111,,,0.04737654320987654,-0.04737654320987654,
PGS004698,CAD,filter_5,median_I2_retained,0.0,,,0.0,,,0.0,0.0,40483.0
PGS004698,CAD,filter_5,mean_sign_concordance_retained,0.6381680965423584,,,0.6355894207954407,,,0.0025786757469177246,0.0025786757469177246,40483.0
PGS004698,CAD,filter_5,weight_retained_frac,0.9858021511906792,,,1.0,,,-0.014197848809320845,0.014197848809320845,
PGS004698,CAD,filter_5,tail5_frac_AFR,0.7619047619047619,,,0.7301587301587301,,,0.031746031746031744,,
PGS004698,CAD,filter_5,tail5_frac_AMR,0.09523809523809523,,,0.09523809523809523,,,0.0,,
PGS004698,CAD,filter_5,tail5_frac_EAS,0.14285714285714285,,,0.1746031746031746,,,-0.031746031746031744,,
PGS004698,CAD,filter_5,tail5_frac_EUR,0.0,,,0.0,,,0.0,,
PGS004698,CAD,filter_5,tail5_frac_SAS,0.0,,,0.0,,,0.0,,
PGS004698,CAD,filter_5,tail5_ancestry_L1,0.06349206349206349,,,0.0,,,0.06349206349206349,,
PGS003897,BMI,filter_5,mean_abs_delta_EUR,0.31555915118723515,0.2552368107123952,0.3937446225969849,0.24074806570109797,0.20824358123211123,0.2925655743313509,0.07481108548613719,-0.07481108548613719,
PGS003897,BMI,filter_5,kendall_w,0.12098765432098765,,,0.07361111111111111,,,0.04737654320987654,-0.04737654320987654,
PGS003897,BMI,filter_5,median_I2_retained,0.34361690282821655,,,0.37224072217941284,,,-0.02862381935119629,0.02862381935119629,13448.0
PGS003897,BMI,filter_5,mean_sign_concordance_retained,0.5617984533309937,,,0.5602743029594421,,,0.0015241503715515137,0.0015241503715515137,13448.0
PGS003897,BMI,filter_5,weight_retained_frac,0.9375375528512119,,,1.0,,,-0.062462447148788125,0.062462447148788125,
PGS003897,BMI,filter_5,tail5_frac_AFR,0.16666666666666666,,,0.23809523809523808,,,-0.07142857142857142,,
PGS003897,BMI,filter_5,tail5_frac_AMR,0.2222222222222222,,,0.19047619047619047,,,0.031746031746031744,,
PGS003897,BMI,filter_5,tail5_frac_EAS,0.0873015873015873,,,0.0873015873015873,,,0.0,,
PGS003897,BMI,filter_5,tail5_frac_EUR,0.31746031746031744,,,0.3253968253968254,,,-0.007936507936507964,,
PGS003897,BMI,filter_5,tail5_frac_SAS,0.20634920634920634,,,0.15873015873015872,,,0.047619047619047616,,
PGS003897,BMI,filter_5,tail5_ancestry_L1,0.15873015873015875,,,0.0,,,0.15873015873015875,,
PGS002853,LDL,filter_5,mean_abs_delta_EUR,0.15394938212851403,0.12330372061444862,0.20447125945012362,0.25989511412259914,0.18101813374665499,0.3492223280883946,-0.10594573199408511,0.10594573199408511,
PGS002853,LDL,filter_5,kendall_w,0.12098765432098765,,,0.07361111111111111,,,0.04737654320987654,-0.04737654320987654,
PGS002853,LDL,filter_5,median_I2_retained,0.0,,,0.048609644174575806,,,-0.048609644174575806,0.048609644174575806,476630.0
PGS002853,LDL,filter_5,mean_sign_concordance_retained,0.5908252596855164,,,0.5854026675224304,,,0.0054225921630859375,0.0054225921630859375,476630.0
PGS002853,LDL,filter_5,weight_retained_frac,0.9831244793126583,,,1.0,,,-0.01687552068734166,0.01687552068734166,
PGS002853,LDL,filter_5,tail5_frac_AFR,0.25396825396825395,,,0.23809523809523808,,,0.015873015873015872,,
PGS002853,LDL,filter_5,tail5_frac_AMR,0.23015873015873015,,,0.2222222222222222,,,0.007936507936507936,,
PGS002853,LDL,filter_5,tail5_frac_EAS,0.09523809523809523,,,0.14285714285714285,,,-0.047619047619047616,,
PGS002853,LDL,filter_5,tail5_frac_EUR,0.24603174603174602,,,0.14285714285714285,,,0.10317460317460317,,
PGS002853,LDL,filter_5,tail5_frac_SAS,0.1746031746031746,,,0.25396825396825395,,,-0.07936507936507936,,
PGS002853,LDL,filter_5,tail5_ancestry_L1,0.25396825396825395,,,0.0,,,0.25396825396825395,,
PGS002858,LDL,filter_5,mean_abs_delta_EUR,0.16982273628844685,0.12166587925162721,0.20967641228841064,0.37752654635908756,0.2835154317544518,0.47601197251214317,-0.2077038100706407,0.2077038100706407,
PGS002858,LDL,filter_5,kendall_w,0.12098765432098765,,,0.07361111111111111,,,0.04737654320987654,-0.04737654320987654,
PGS002858,LDL,filter_5,median_I2_retained,0.0,,,0.048610735684633255,,,-0.048610735684633255,0.048610735684633255,476629.0
PGS002858,LDL,filter_5,mean_sign_concordance_retained,0.5908253788948059,,,0.5854030251502991,,,0.005422353744506836,0.005422353744506836,476629.0
PGS002858,LDL,filter_5,weight_retained_frac,0.9832336448074372,,,1.0,,,-0.016766355192562754,0.016766355192562754,
PGS002858,LDL,filter_5,tail5_frac_AFR,0.25396825396825395,,,0.2698412698412698,,,-0.015873015873015872,,
PGS002858,LDL,filter_5,tail5_frac_AMR,0.1984126984126984,,,0.18253968253968253,,,0.015873015873015872,,
PGS002858,LDL,filter_5,tail5_frac_EAS,0.07936507936507936,,,0.10317460317460317,,,-0.023809523809523808,,
PGS002858,LDL,filter_5,tail5_frac_EUR,0.19047619047619047,,,0.10317460317460317,,,0.0873015873015873,,
PGS002858,LDL,filter_5,tail5_frac_SAS,0.2777777777777778,,,0.3412698412698413,,,-0.06349206349206349,,
PGS002858,LDL,filter_5,tail5_ancestry_L1,0.20634920634920634,,,0.0,,,0.20634920634920634,,
PGS003092,BMI,filter_5,mean_abs_delta_EUR,0.21157430188003407,0.1691565102189261,0.2597498763222029,0.3476313487872348,0.2899153501090985,0.4131796117324976,-0.13605704690720072,0.13605704690720072,
PGS003092,BMI,filter_5,kendall_w,0.12098765432098765,,,0.07361111111111111,,,0.04737654320987654,-0.04737654320987654,
PGS003092,BMI,filter_5,median_I2_retained,0.1032649427652359,,,0.16855233907699585,,,-0.06528739631175995,0.06528739631175995,937178.0
PGS003092,BMI,filter_5,mean_sign_concordance_retained,0.5841941237449646,,,0.5798572897911072,,,0.004336833953857422,0.004336833953857422,937178.0
PGS003092,BMI,filter_5,weight_retained_frac,0.9818927993601934,,,1.0,,,-0.018107200639806642,0.018107200639806642,
PGS003092,BMI,filter_5,tail5_frac_AFR,0.10317460317460317,,,0.031746031746031744,,,0.07142857142857142,,
PGS003092,BMI,filter_5,tail5_frac_AMR,0.14285714285714285,,,0.1349206349206349,,,0.007936507936507936,,
PGS003092,BMI,filter_5,tail5_frac_EAS,0.1111111111111111,,,0.3253968253968254,,,-0.2142857142857143,,
PGS003092,BMI,filter_5,tail5_frac_EUR,0.25396825396825395,,,0.20634920634920634,,,0.047619047619047616,,
PGS003092,BMI,filter_5,tail5_frac_SAS,0.3888888888888889,,,0.30158730158730157,,,0.08730158730158732,,
PGS003092,BMI,filter_5,tail5_ancestry_L1,0.4285714285714286,,,0.0,,,0.4285714285714286,,
PGS000014,CAD,filter_5,mean_abs_delta_EUR,3.4988292112359085,3.305863520350069,3.774983412695742,3.498806555533649,3.280194210648079,3.7982305628079067,2.2655702259566368e-05,-2.2655702259566368e-05,
PGS000014,CAD,filter_5,kendall_w,0.12098765432098765,,,0.07361111111111111,,,0.04737654320987654,-0.04737654320987654,
PGS000014,CAD,filter_5,median_I2_retained,0.0,,,0.0,,,0.0,0.0,284348.0
PGS000014,CAD,filter_5,mean_sign_concordance_retained,0.6208592653274536,,,0.6188855171203613,,,0.001973748207092285,0.001973748207092285,284348.0
PGS000014,CAD,filter_5,weight_retained_frac,0.9680894236828371,,,1.0,,,-0.031910576317162875,0.031910576317162875,
PGS000014,CAD,filter_5,tail5_frac_AFR,0.9523809523809523,,,0.4365079365079365,,,0.5158730158730158,,
PGS000014,CAD,filter_5,tail5_frac_AMR,0.0,,,0.0,,,0.0,,
PGS000014,CAD,filter_5,tail5_frac_EAS,0.047619047619047616,,,0.5634920634920635,,,-0.5158730158730158,,
PGS000014,CAD,filter_5,tail5_frac_EUR,0.0,,,0.0,,,0.0,,
PGS000014,CAD,filter_5,tail5_frac_SAS,0.0,,,0.0,,,0.0,,
PGS000014,CAD,filter_5,tail5_ancestry_L1,1.0317460317460316,,,0.0,,,1.0317460317460316,,
PGS004840,T2D,filter_5,mean_abs_delta_EUR,2.8947310999101203,2.7356968454735937,3.1012745627226903,2.746743320529516,2.6106161839154063,2.9408570838911556,0.14798777938060415,-0.14798777938060415,
PGS004840,T2D,filter_5,kendall_w,0.12098765432098765,,,0.07361111111111111,,,0.04737654320987654,-0.04737654320987654,
PGS004840,T2D,filter_5,median_I2_retained,0.0,,,0.0,,,0.0,0.0,391821.0
PGS004840,T2D,filter_5,mean_sign_concordance_retained,0.6341772675514221,,,0.6334612965583801,,,0.0007159709930419922,0.0007159709930419922,391821.0
PGS004840,T2D,filter_5,weight_retained_frac,0.9579662635828099,,,1.0,,,-0.042033736417190104,0.042033736417190104,
PGS004840,T2D,filter_5,tail5_frac_AFR,0.9126984126984127,,,0.9603174603174603,,,-0.04761904761904767,,
PGS004840,T2D,filter_5,tail5_frac_AMR,0.0,,,0.0,,,0.0,,
PGS004840,T2D,filter_5,tail5_frac_EAS,0.015873015873015872,,,0.031746031746031744,,,-0.015873015873015872,,
PGS004840,T2D,filter_5,tail5_frac_EUR,0.07142857142857142,,,0.0,,,0.07142857142857142,,
PGS004840,T2D,filter_5,tail5_frac_SAS,0.0,,,0.007936507936507936,,,-0.007936507936507936,,
PGS004840,T2D,filter_5,tail5_ancestry_L1,0.1428571428571429,,,0.0,,,0.1428571428571429,,
PGS000191,WBC,filter_10,mean_abs_delta_EUR,0.49145139692205186,0.38417113890294513,0.5671497878795073,0.43059320240302235,0.3577438058722341,0.5029273611823771,0.06085819451902952,-0.06085819451902952,
PGS000191,WBC,filter_10,kendall_w,0.13333333333333333,,,0.07361111111111111,,,0.05972222222222222,-0.05972222222222222,
PGS000191,WBC,filter_10,median_I2_retained,,,,,,,,,0.0
PGS000191,WBC,filter_10,mean_sign_concordance_retained,,,,,,,,,0.0
PGS000191,WBC,filter_10,weight_retained_frac,0.8857279752333038,,,1.0,,,-0.11427202476669618,0.11427202476669618,
PGS000191,WBC,filter_10,tail5_frac_AFR,0.5555555555555556,,,0.753968253968254,,,-0.19841269841269837,,
PGS000191,WBC,filter_10,tail5_frac_AMR,0.10317460317460317,,,0.0873015873015873,,,0.015873015873015872,,
PGS000191,WBC,filter_10,tail5_frac_EAS,0.10317460317460317,,,0.047619047619047616,,,0.05555555555555555,,
PGS000191,WBC,filter_10,tail5_frac_EUR,0.1349206349206349,,,0.07142857142857142,,,0.06349206349206349,,
PGS000191,WBC,filter_10,tail5_frac_SAS,0.10317460317460317,,,0.03968253968253968,,,0.06349206349206349,,
PGS000191,WBC,filter_10,tail5_ancestry_L1,0.39682539682539675,,,0.0,,,0.39682539682539675,,
PGS004133,RA,filter_10,mean_abs_delta_EUR,0.5855005671622574,0.5310997678397437,0.6303069356376552,0.605496606405715,0.551122979760708,0.6443385830399753,-0.01999603924345761,0.01999603924345761,
PGS004133,RA,filter_10,kendall_w,0.13333333333333333,,,0.07361111111111111,,,0.05972222222222222,-0.05972222222222222,
PGS004133,RA,filter_10,median_I2_retained,,,,,,,,,0.0
PGS004133,RA,filter_10,mean_sign_concordance_retained,,,,,,,,,0.0
PGS004133,RA,filter_10,weight_retained_frac,0.8846875054764672,,,1.0,,,-0.11531249452353276,0.11531249452353276,
PGS004133,RA,filter_10,tail5_frac_AFR,0.0,,,0.0,,,0.0,,
PGS004133,RA,filter_10,tail5_frac_AMR,0.25396825396825395,,,0.2619047619047619,,,-0.007936507936507964,,
PGS004133,RA,filter_10,tail5_frac_EAS,0.6031746031746031,,,0.5793650793650794,,,0.023809523809523725,,
PGS004133,RA,filter_10,tail5_frac_EUR,0.1111111111111111,,,0.14285714285714285,,,-0.031746031746031744,,
PGS004133,RA,filter_10,tail5_frac_SAS,0.031746031746031744,,,0.015873015873015872,,,0.015873015873015872,,
PGS004133,RA,filter_10,tail5_ancestry_L1,0.0793650793650793,,,0.0,,,0.0793650793650793,,
PGS001288,IBD,filter_10,mean_abs_delta_EUR,1.0496132642009124,0.9544248985415046,1.171746172659153,0.569879732237856,0.4615945899022897,0.6674980420674943,0.47973353196305635,-0.47973353196305635,
PGS001288,IBD,filter_10,kendall_w,0.13333333333333333,,,0.07361111111111111,,,0.05972222222222222,-0.05972222222222222,
PGS001288,IBD,filter_10,median_I2_retained,,,,,,,,,0.0
PGS001288,IBD,filter_10,mean_sign_concordance_retained,,,,,,,,,0.0
PGS001288,IBD,filter_10,weight_retained_frac,0.7981023379388466,,,1.0,,,-0.20189766206115345,0.20189766206115345,
PGS001288,IBD,filter_10,tail5_frac_AFR,0.10317460317460317,,,0.09523809523809523,,,0.007936507936507936,,
PGS001288,IBD,filter_10,tail5_frac_AMR,0.15079365079365079,,,0.07936507936507936,,,0.07142857142857142,,
PGS001288,IBD,filter_10,tail5_frac_EAS,0.0,,,0.03968253968253968,,,-0.03968253968253968,,
PGS001288,IBD,filter_10,tail5_frac_EUR,0.6666666666666666,,,0.5317460317460317,,,0.13492063492063489,,
PGS001288,IBD,filter_10,tail5_frac_SAS,0.07936507936507936,,,0.25396825396825395,,,-0.1746031746031746,,
PGS001288,IBD,filter_10,tail5_ancestry_L1,0.42857142857142855,,,0.0,,,0.42857142857142855,,
PGS000018,T2D,filter_20,mean_abs_delta_EUR,1.2257038404886698,1.0692570832713488,1.3649172100549005,1.4433717744989998,1.2771701415419099,1.5636068921357757,-0.21766793401033002,0.21766793401033002,
PGS000018,T2D,filter_20,kendall_w,0.08148148148148149,,,0.07361111111111111,,,0.007870370370370375,-0.007870370370370375,
PGS000018,T2D,filter_20,median_I2_retained,0.0,,,0.0,,,0.0,0.0,57110.0
PGS000018,T2D,filter_20,mean_sign_concordance_retained,0.6279656887054443,,,0.6305486559867859,,,-0.0025829672813415527,-0.0025829672813415527,57110.0
PGS000018,T2D,filter_20,weight_retained_frac,0.8765386905737054,,,1.0,,,-0.12346130942629463,0.12346130942629463,
PGS000018,T2D,filter_20,tail5_frac_AFR,0.007936507936507936,,,0.0,,,0.007936507936507936,,
PGS000018,T2D,filter_20,tail5_frac_AMR,0.031746031746031744,,,0.10317460317460317,,,-0.07142857142857142,,
PGS000018,T2D,filter_20,tail5_frac_EAS,0.0,,,0.2222222222222222,,,-0.2222222222222222,,
PGS000018,T2D,filter_20,tail5_frac_EUR,0.9047619047619048,,,0.6746031746031746,,,0.23015873015873012,,
PGS000018,T2D,filter_20,tail5_frac_SAS,0.05555555555555555,,,0.0,,,0.05555555555555555,,
PGS000018,T2D,filter_20,tail5_ancestry_L1,0.5873015873015872,,,0.0,,,0.5873015873015872,,
PGS004696,CAD,filter_20,mean_abs_delta_EUR,4.663992101301158,4.391396333949616,4.971122809019335,4.276596184543395,4.054897571517985,4.555738377815027,0.38739591675776275,-0.38739591675776275,
