pgs_id,trait,mode,metric,value,baseline_value,delta_vs_baseline,reduction,n_labeled_retained
PGS002858,LDL,flag,kendall_w,0.01728395061728395,0.01728395061728395,0.0,0.0,
PGS002858,LDL,flag,median_I2_retained,0.042294204235076904,,,,448696.0
PGS002858,LDL,flag,mean_sign_concordance_retained,0.5856370329856873,,,,448696.0
PGS002858,LDL,flag,weight_retained_frac,1.0,1.0,0.0,0.0,
PGS003092,BMI,flag,mean_abs_delta_EUR,0.5315574243409991,0.3704443214771145,0.16111310286388458,-0.16111310286388458,
PGS003092,BMI,flag,kendall_w,0.01728395061728395,0.01728395061728395,0.0,0.0,
PGS003092,BMI,flag,median_I2_retained,0.1678614616394043,,,,914477.0
PGS003092,BMI,flag,mean_sign_concordance_retained,0.5797567963600159,,,,914477.0
PGS003092,BMI,flag,weight_retained_frac,1.0,1.0,0.0,0.0,
PGS000014,CAD,flag,mean_abs_delta_EUR,2.1200491837099795,2.5558140597276946,-0.4357648760177151,0.4357648760177151,
PGS000014,CAD,flag,kendall_w,0.01728395061728395,0.01728395061728395,0.0,0.0,
PGS000014,CAD,flag,median_I2_retained,0.0,,,,274387.0
PGS000014,CAD,flag,mean_sign_concordance_retained,0.6196289658546448,,,,274387.0
PGS000014,CAD,flag,weight_retained_frac,1.0,1.0,0.0,0.0,
PGS004840,T2D,flag,mean_abs_delta_EUR,1.2107554439711516,1.2107554439711516,0.0,0.0,
PGS004840,T2D,flag,kendall_w,0.01728395061728395,0.01728395061728395,0.0,0.0,
PGS004840,T2D,flag,median_I2_retained,0.0,,,,383834.0
