run_accession	arm	bioproject	sample_accession	role	rank	library_layout	instrument_platform	library_strategy	base_count	read_count
SRR5127751	netherlands	PRJNA319574	SAMN06110433	primary	16	PAIRED	ILLUMINA	WGS	4815730610	24156974
SRR5127649	netherlands	PRJNA319574	SAMN06110200	primary	17	PAIRED	ILLUMINA	WGS	4801518237	24333087
SRR5127599	netherlands	PRJNA319574	SAMN06110197	primary	18	PAIRED	ILLUMINA	WGS	4791396192	24024102
SRR5127796	netherlands	PRJNA319574	SAMN06110363	primary	19	PAIRED	ILLUMINA	WGS	4737151277	23821389
SRR5127530	netherlands	PRJNA319574	SAMN06110324	primary	20	PAIRED	ILLUMINA	WGS	4712994106	23683354
SRR5127623	netherlands	PRJNA319574	SAMN06110313	reserve	21	PAIRED	ILLUMINA	WGS	4648847726	23315143
SRR5127543	netherlands	PRJNA319574	SAMN06110373	reserve	22	PAIRED	ILLUMINA	WGS	4635605474	23281655
SRR5127435	netherlands	PRJNA319574	SAMN06110261	reserve	23	PAIRED	ILLUMINA	WGS	4627794428	23610511
SRR5127658	netherlands	PRJNA319574	SAMN06110110	reserve	24	PAIRED	ILLUMINA	WGS	4598503162	23066604
SRR5127718	netherlands	PRJNA319574	SAMN06110212	reserve	25	PAIRED	ILLUMINA	WGS	4576625655	23209127
SRR5127552	netherlands	PRJNA319574	SAMN06110170	reserve	26	PAIRED	ILLUMINA	WGS	4560239392	22940140
SRR5127499	netherlands	PRJNA319574	SAMN06110319	reserve	27	PAIRED	ILLUMINA	WGS	4515508444	22826668
SRR5127437	netherlands	PRJNA319574	SAMN06110076	reserve	28	PAIRED	ILLUMINA	WGS	4510640421	22988121
SRR5127772	netherlands	PRJNA319574	SAMN06110326	reserve	29	PAIRED	ILLUMINA	WGS	4508658816	22805012
SRR5127567	netherlands	PRJNA319574	SAMN06110082	reserve	30	PAIRED	ILLUMINA	WGS	4419364906	22239583
