arm	bioproject	query_date_utc	response_rows	eligible_unique_rows	canonical_snapshot_sha256	stage0_manifest_sha256
tanzania	PRJNA686265	2026-07-30	320	320	7e324a227ebf86462c9f1bb4a136aa40d3f190be993d7933a7df2e0c9be655b6	277a2d2633a3fb563510d2a00ee8c33dd0b9378fce30df10ab24d92753dc4c0d
netherlands	PRJNA319574	2026-07-30	875	471	64e3cb03544e2bd14e0721f929ba2e8f251df44c1ed351d19609050dc6a1f989	277a2d2633a3fb563510d2a00ee8c33dd0b9378fce30df10ab24d92753dc4c0d
