pgs_id,mode,trait,status,n_variants_original,n_variants_edited,n_removed,variant_retention,weight_mass_retention,mass_removed,n_af_overlap,n_draws,observed_mad_baseline,observed_mad_edited,observed_mad_reduction,expected_mad_baseline,expected_mad_edited,expected_mad_reduction,delta_vs_random_n,delta_vs_random_mass,empirical_p_n,empirical_p_mass,random_n_mad_reduction_mean,random_mass_mad_reduction_mean,claim
PGS004698,filter_5,CAD,ok,527842,501450,26392,0.95,0.985798,340.765,8705,500,,,,5.38176,4.95781,0.423948,-4.95533,0.345783,1,0.00199601,5.37927,0.0781648,ancestry_mean_separation_vs_matched_random_af_expected
PGS004698,filter_10,CAD,ok,527842,475058,52784,0.9,0.97264,656.485,8705,500,,,,5.38176,4.71237,0.669384,-4.71013,0.519778,1,0.00199601,5.37951,0.149607,ancestry_mean_separation_vs_matched_random_af_expected
PGS004698,filter_20,CAD,ok,527842,422274,105568,0.800001,0.945906,1297.95,8705,500,,,,5.38176,4.23828,1.14348,-4.23577,0.855762,1,0.00199601,5.37925,0.287718,ancestry_mean_separation_vs_matched_random_af_expected
PGS004698,reweight_linear,CAD,ok,527842,527842,0,1,0.748513,6034.21,8705,500,,,,5.38176,5.38176,0,,-1.35227,,1,,1.35227,ancestry_mean_separation_vs_matched_random_af_expected
PGS004698,reweight_exp,CAD,ok,527842,527842,0,1,0.487639,12293.7,8705,500,,,,5.38176,5.38176,0,,-2.75835,,1,,2.75835,ancestry_mean_separation_vs_matched_random_af_expected
PGS004698,flag,CAD,ok,527842,527842,0,1,0.999996,0.0998,8705,500,,,,5.38176,5.38176,0,,-0.000665296,,0.576846,,0.000665296,ancestry_mean_separation_vs_matched_random_af_expected
PGS004698,fst,CAD,ok,527842,475058,52784,0.9,0.957082,1029.78,8705,500,,,,5.38176,3.39403,1.98773,-3.39177,1.7569,1,0.00199601,5.3795,0.230834,ancestry_mean_separation_vs_matched_random_af_expected
PGS004698,ld,CAD,ok,527842,475058,52784,0.9,0.968897,746.286,8705,500,,,,5.38176,4.90255,0.479206,-4.90007,0.314755,1,0.00199601,5.37928,0.164451,ancestry_mean_separation_vs_matched_random_af_expected
PGS004698,maf,CAD,ok,527842,475058,52784,0.9,0.810299,4551.71,8705,500,,,,5.38176,4.35597,1.02579,-4.35351,0.00977731,1,0.459082,5.3793,1.01601,ancestry_mean_separation_vs_matched_random_af_expected
PGS004698,duffy_gate,CAD,ok,527842,527762,80,0.999848,0.999837,3.9107,8705,500,,,,5.38176,5.38176,0,-0.0504327,-0.00163557,0.976048,0.640719,0.0504327,0.00163557,ancestry_mean_separation_vs_matched_random_af_expected
PGS003897,filter_5,BMI,ok,34158,32451,1707,0.950026,0.937538,17.9146,560,500,,,,0.0622353,0.0420641,0.0201712,-0.0398598,0.020535,1,0.0259481,0.0600311,-0.000363751,ancestry_mean_separation_vs_matched_random_af_expected
PGS003897,filter_10,BMI,ok,34158,30743,3415,0.900023,0.879537,34.5494,560,500,,,,0.0622353,0.0522062,0.0100291,-0.0501692,0.00832176,1,0.355289,0.0601983,0.00170736,ancestry_mean_separation_vs_matched_random_af_expected
PGS003897,filter_20,BMI,ok,34158,27327,6831,0.800018,0.773629,64.9245,560,500,,,,0.0622353,0.067538,-0.00530274,-0.0654188,-0.00986301,1,0.716567,0.060116,0.00456027,ancestry_mean_separation_vs_matched_random_af_expected
PGS003897,reweight_linear,BMI,ok,34158,34158,0,1,0.576852,121.361,560,500,,,,0.0622353,0.0622353,0,,-0.0115696,,0.740519,,0.0115696,ancestry_mean_separation_vs_matched_random_af_expected
PGS003897,reweight_exp,BMI,ok,34158,34158,0,1,0.287466,204.358,560,500,,,,0.0622353,0.0622353,0,,-0.0256331,,0.926148,,0.0256331,ancestry_mean_separation_vs_matched_random_af_expected
PGS003897,flag,BMI,ok,34158,34158,0,1,1,0,560,500,,,,0.0622353,0.0622353,0,,,,,,,ancestry_mean_separation_vs_matched_random_af_expected
PGS003897,fst,BMI,ok,34158,30743,3415,0.900023,0.89889,28.9988,560,500,,,,0.0622353,0.0715961,-0.00936083,-0.0695185,-0.00857506,1,0.730539,0.0601577,-0.000785775,ancestry_mean_separation_vs_matched_random_af_expected
PGS003897,ld,BMI,ok,34158,30743,3415,0.900023,0.885936,32.7142,560,500,,,,0.0622353,0.0733407,-0.0111054,-0.0710943,-0.0111589,1,0.798403,0.059989,5.35622e-05,ancestry_mean_separation_vs_matched_random_af_expected
PGS003897,maf,BMI,ok,34158,30743,3415,0.900023,0.882361,33.7396,560,500,,,,0.0622353,0.0551016,0.00713372,-0.0529792,0.0073558,1,0.363273,0.0601129,-0.00022208,ancestry_mean_separation_vs_matched_random_af_expected
PGS003897,duffy_gate,BMI,ok,34158,34151,7,0.999795,0.999908,0.0264801,560,500,,,,0.0622353,0.0622353,0,0.000801101,-8.67788e-05,0.491018,0.540918,-0.000801101,8.67788e-05,ancestry_mean_separation_vs_matched_random_af_expected
PGS002853,filter_5,LDL,ok,6.08984e+06,5.78535e+06,304491,0.95,0.983124,6.20835,96643,500,,,,0.0181643,0.0149074,0.00325682,-0.0149041,0.0028811,1,0.0159681,0.0181609,0.000375715,ancestry_mean_separation_vs_matched_random_af_expected
PGS002853,filter_10,LDL,ok,6.08984e+06,5.48086e+06,608983,0.9,0.966327,12.3878,96643,500,,,,0.0181643,0.01371,0.00445425,-0.0137068,0.00390742,1,0.00598802,0.018161,0.000546837,ancestry_mean_separation_vs_matched_random_af_expected
PGS002853,filter_20,LDL,ok,6.08984e+06,4.87187e+06,1.21797e+06,0.8,0.930185,25.6843,96643,500,,,,0.0181643,0.0124383,0.00572592,-0.0124346,0.00439042,1,0.00598802,0.0181605,0.0013355,ancestry_mean_separation_vs_matched_random_af_expected
PGS002853,reweight_linear,LDL,ok,6.08984e+06,6.08984e+06,0,1,0.736491,96.9426,96643,500,,,,0.0181643,0.0181643,0,,-0.00501897,,0.914172,,0.00501897,ancestry_mean_separation_vs_matched_random_af_expected
PGS002853,reweight_exp,LDL,ok,6.08984e+06,6.08984e+06,0,1,0.468558,195.513,96643,500,,,,0.0181643,0.0181643,0,,-0.0096306,,1,,0.0096306,ancestry_mean_separation_vs_matched_random_af_expected
PGS002853,flag,LDL,ok,6.08984e+06,6.08984e+06,0,1,1,0,96643,500,,,,0.0181643,0.0181643,0,,,,,,,ancestry_mean_separation_vs_matched_random_af_expected
