super_pop,n,duffy_null_af,expected_note
AFR,661,0.963691,AFR high (~0.8+); EUR near 0 for Duffy-null C
AMR,347,0.077810,AFR high (~0.8+); EUR near 0 for Duffy-null C
EAS,504,0.000000,AFR high (~0.8+); EUR near 0 for Duffy-null C
EUR,503,0.005964,AFR high (~0.8+); EUR near 0 for Duffy-null C
SAS,489,0.000000,AFR high (~0.8+); EUR near 0 for Duffy-null C
